City,Latitude,Longitude,Max Temp (K),Humidity,Sky Description,Cloudiness %,Wind speed,Country,Date,Max Temp (F)
Punta Arenas,-53.15,-70.92,285.15,50,broken clouds,75,12.9,CL,1601842583,53.87
Butaritari,3.07,172.79,299.71,77,overcast clouds,100,2.08,KI,1601842760,80.08
Cabo San Lucas,22.89,-109.91,306.48,55,clear sky,5,2.1,MX,1601842787,92.26
Tasiilaq,65.61,-37.64,270.87,81,broken clouds,59,1.34,GL,1601842797,28.17
Goderich,43.75,-81.72,285.93,51,overcast clouds,97,1.34,CA,1601842895,55.27
Hambantota,6.12,81.12,299.15,83,broken clouds,75,3.6,LK,1601842895,79.07
Bluff,-46.6,168.33,285.12,77,scattered clouds,41,8.18,NZ,1601842895,53.82
Pisco,-13.7,-76.22,291.15,77,scattered clouds,40,3.6,PE,1601842797,64.67
Vaini,-21.2,-175.2,295.15,94,light intensity drizzle,90,6.7,TO,1601842895,71.87
Chokurdakh,70.63,147.92,270.54,94,overcast clouds,100,3.65,RU,1601842777,27.57
East London,-33.02,27.91,292.96,80,overcast clouds,88,8.39,ZA,1601842895,67.93
Mossamedes,-15.2,12.15,291.62,70,overcast clouds,90,1.74,AO,1601842896,65.52
Ribeira Grande,38.52,-28.7,293.15,77,few clouds,20,3.6,PT,1601842768,68.27
Albany,42.6,-73.97,289.82,61,broken clouds,73,2.61,US,1601842759,62.28
Shagonar,51.53,92.8,276.16,74,few clouds,12,0.46,RU,1601842866,37.69
Tuktoyaktuk,69.45,-133.04,276.15,93,mist,90,7.2,CA,1601842896,37.67
Bonthe,7.53,-12.51,297.79,89,light rain,100,3.16,SL,1601842896,76.62
Port Elizabeth,-33.92,25.57,290.15,93,clear sky,0,4.6,ZA,1601842766,62.87
Thompson,55.74,-97.86,282.15,93,broken clouds,75,5.1,CA,1601842497,48.47
Cidreira,-30.18,-50.21,288.53,87,light rain,100,11.25,BR,1601842777,59.95
Thabazimbi,-24.59,27.41,296.48,58,few clouds,14,2.1,ZA,1601842897,74.26
Na Wa,17.49,104.1,297.75,93,moderate rain,98,1.33,TH,1601842897,76.55
Evensk,61.95,159.23,276.77,91,broken clouds,67,1.22,RU,1601842897,38.79
Waitati,-45.75,170.57,284.82,78,overcast clouds,98,0.89,NZ,1601842897,53.28
Hilo,19.73,-155.09,302.15,54,clear sky,1,1.5,US,1601842690,84.47
Ushuaia,-54.8,-68.3,284.15,50,broken clouds,75,8.7,AR,1601842670,52.07
Jamestown,42.1,-79.24,288.71,58,overcast clouds,90,3.1,US,1601842549,60.28
Suileng,47.25,127.08,280.91,87,light rain,100,8.84,CN,1601842898,46.24
